"id";"skill";"skill_type"
1492.0;"Analyzing";"soft"
1493.0;"Analyzing";"soft"
1502.0;"Analyzing";"soft"
1503.0;"Analyzing";"soft"
1504.0;"Analyzing";"soft"
1505.0;"Analyzing";"soft"
1527.0;"Analyzing";"soft"
1547.0;"Analyzing";"soft"
1551.0;"Analyzing";"soft"
1563.0;"Analyzing";"soft"
1569.0;"Analyzing";"soft"
1574.0;"Analyzing";"soft"
1584.0;"Analyzing";"soft"
1586.0;"Analyzing";"soft"
1589.0;"Analyzing";"soft"
1590.0;"Analyzing";"soft"
1592.0;"Analyzing";"soft"
1594.0;"Analyzing";"soft"
1602.0;"Analyzing";"soft"
1612.0;"Analyzing";"soft"
1630.0;"Analyzing";"soft"
1646.0;"Analyzing";"soft"
1648.0;"Analyzing";"soft"
1652.0;"Analyzing";"soft"
1660.0;"Analyzing";"soft"
1665.0;"Analyzing";"soft"
1681.0;"Analyzing";"soft"
1699.0;"Analyzing";"soft"
1709.0;"Analyzing";"soft"
1712.0;"Analyzing";"soft"
1720.0;"Analyzing";"soft"
1723.0;"Analyzing";"soft"
1731.0;"Analyzing";"soft"
1773.0;"Analyzing";"soft"
1786.0;"Analyzing";"soft"
1795.0;"Analyzing";"soft"
1809.0;"Analyzing";"soft"
1818.0;"Analyzing";"soft"
1821.0;"Analyzing";"soft"
1822.0;"Analyzing";"soft"
1823.0;"Analyzing";"soft"
1828.0;"Analyzing";"soft"
1829.0;"Analyzing";"soft"
1831.0;"Analyzing";"soft"
1832.0;"Analyzing";"soft"
1853.0;"Analyzing";"soft"
1880.0;"Analyzing";"soft"
1885.0;"Analyzing";"soft"
1887.0;"Analyzing";"soft"
1892.0;"Analyzing";"soft"
1894.0;"Analyzing";"soft"
1898.0;"Analyzing";"soft"
1913.0;"Analyzing";"soft"
1915.0;"Analyzing";"soft"
1919.0;"Analyzing";"soft"
1921.0;"Analyzing";"soft"
1922.0;"Analyzing";"soft"
1929.0;"Analyzing";"soft"
1931.0;"Analyzing";"soft"
1939.0;"Analyzing";"soft"
1940.0;"Analyzing";"soft"
1946.0;"Analyzing";"soft"
1952.0;"Analyzing";"soft"
1953.0;"Analyzing";"soft"
1956.0;"Analyzing";"soft"
1960.0;"Analyzing";"soft"
1962.0;"Analyzing";"soft"
1966.0;"Analyzing";"soft"
1987.0;"Analyzing";"soft"
2013.0;"Analyzing";"soft"
2027.0;"Analyzing";"soft"
2044.0;"Analyzing";"soft"
2048.0;"Analyzing";"soft"
2052.0;"Analyzing";"soft"
2055.0;"Analyzing";"soft"
2059.0;"Analyzing";"soft"
2063.0;"Analyzing";"soft"
2094.0;"Analyzing";"soft"
2095.0;"Analyzing";"soft"
2096.0;"Analyzing";"soft"
2130.0;"Analyzing";"soft"
2131.0;"Analyzing";"soft"
2136.0;"Analyzing";"soft"
2176.0;"Analyzing";"soft"
2177.0;"Analyzing";"soft"
2179.0;"Analyzing";"soft"
2180.0;"Analyzing";"soft"
2214.0;"Analyzing";"soft"
2246.0;"Analyzing";"soft"
2251.0;"Analyzing";"soft"
2256.0;"Analyzing";"soft"
2262.0;"Analyzing";"soft"
2310.0;"Analyzing";"soft"
2311.0;"Analyzing";"soft"
2322.0;"Analyzing";"soft"
2335.0;"Analyzing";"soft"
2341.0;"Analyzing";"soft"
2345.0;"Analyzing";"soft"
2347.0;"Analyzing";"soft"
2364.0;"Analyzing";"soft"
2365.0;"Analyzing";"soft"
2409.0;"Analyzing";"soft"
2414.0;"Analyzing";"soft"
2433.0;"Analyzing";"soft"
2438.0;"Analyzing";"soft"
2443.0;"Analyzing";"soft"
2450.0;"Analyzing";"soft"
2465.0;"Analyzing";"soft"
2487.0;"Analyzing";"soft"
2493.0;"Analyzing";"soft"
2501.0;"Analyzing";"soft"
2506.0;"Analyzing";"soft"
2511.0;"Analyzing";"soft"
2512.0;"Analyzing";"soft"
2514.0;"Analyzing";"soft"
2516.0;"Analyzing";"soft"
2518.0;"Analyzing";"soft"
2550.0;"Analyzing";"soft"
2557.0;"Analyzing";"soft"
2564.0;"Analyzing";"soft"
2565.0;"Analyzing";"soft"
2567.0;"Analyzing";"soft"
2568.0;"Analyzing";"soft"
2572.0;"Analyzing";"soft"
2584.0;"Analyzing";"soft"
2587.0;"Analyzing";"soft"
2589.0;"Analyzing";"soft"
2591.0;"Analyzing";"soft"
2593.0;"Analyzing";"soft"
2595.0;"Analyzing";"soft"
2603.0;"Analyzing";"soft"
2604.0;"Analyzing";"soft"
2609.0;"Analyzing";"soft"
2611.0;"Analyzing";"soft"
2620.0;"Analyzing";"soft"
2624.0;"Analyzing";"soft"
2629.0;"Analyzing";"soft"
2630.0;"Analyzing";"soft"
2648.0;"Analyzing";"soft"
2660.0;"Analyzing";"soft"
2661.0;"Analyzing";"soft"
2670.0;"Analyzing";"soft"
2674.0;"Analyzing";"soft"
2682.0;"Analyzing";"soft"
2693.0;"Analyzing";"soft"
2698.0;"Analyzing";"soft"
2699.0;"Analyzing";"soft"
2712.0;"Analyzing";"soft"
2724.0;"Analyzing";"soft"
2725.0;"Analyzing";"soft"
2729.0;"Analyzing";"soft"
2741.0;"Analyzing";"soft"
2747.0;"Analyzing";"soft"
2753.0;"Analyzing";"soft"
2758.0;"Analyzing";"soft"
2761.0;"Analyzing";"soft"
2762.0;"Analyzing";"soft"
2772.0;"Analyzing";"soft"
2776.0;"Analyzing";"soft"
2780.0;"Analyzing";"soft"
2787.0;"Analyzing";"soft"
2788.0;"Analyzing";"soft"
2790.0;"Analyzing";"soft"
2794.0;"Analyzing";"soft"
2798.0;"Analyzing";"soft"
2805.0;"Analyzing";"soft"
2809.0;"Analyzing";"soft"
2812.0;"Analyzing";"soft"
2816.0;"Analyzing";"soft"
2817.0;"Analyzing";"soft"
2819.0;"Analyzing";"soft"
2821.0;"Analyzing";"soft"
2823.0;"Analyzing";"soft"
2824.0;"Analyzing";"soft"
2826.0;"Analyzing";"soft"
2829.0;"Analyzing";"soft"
2830.0;"Analyzing";"soft"
2861.0;"Analyzing";"soft"
2866.0;"Analyzing";"soft"
2869.0;"Analyzing";"soft"
2886.0;"Analyzing";"soft"
2897.0;"Analyzing";"soft"
